id,nct_id,mesh_term,downcase_mesh_term,mesh_type
1230802923,NCT00313014,Pain,pain,mesh-ancestor
1230802924,NCT00313014,Neurologic Manifestations,neurologic manifestations,mesh-ancestor
1230802925,NCT00313014,Signs and Symptoms,signs and symptoms,mesh-ancestor
1230802926,NCT00313014,"Pathological Conditions, Signs and Symptoms","pathological conditions, signs and symptoms",mesh-ancestor
1230803705,NCT03532542,Muscular Dystrophies,muscular dystrophies,mesh-ancestor
1230803706,NCT03532542,"Muscular Disorders, Atrophic","muscular disorders, atrophic",mesh-ancestor
1230803707,NCT03532542,Muscular Diseases,muscular diseases,mesh-ancestor
1230803708,NCT03532542,Musculoskeletal Diseases,musculoskeletal diseases,mesh-ancestor
1230803709,NCT03532542,Neuromuscular Diseases,neuromuscular diseases,mesh-ancestor
1230803710,NCT03532542,Nervous System Diseases,nervous system diseases,mesh-ancestor
1230803711,NCT03532542,"Genetic Diseases, X-Linked","genetic diseases, x-linked",mesh-ancestor
1230803712,NCT03532542,"Genetic Diseases, Inborn","genetic diseases, inborn",mesh-ancestor
1230803713,NCT03532542,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities","congenital, hereditary, and neonatal diseases and abnormalities",mesh-ancestor
1230805533,NCT00313014,Low Back Pain,low back pain,mesh-list
1230805704,NCT03532542,"Muscular Dystrophy, Duchenne","muscular dystrophy, duchenne",mesh-list
1233316586,NCT01395342,Pregnancy Complications,pregnancy complications,mesh-ancestor
1233316587,NCT01395342,Female Urogenital Diseases and Pregnancy Complications,female urogenital diseases and pregnancy complications,mesh-ancestor
1233316588,NCT01395342,Urogenital Diseases,urogenital diseases,mesh-ancestor
1233316589,NCT01395342,Hypertension,hypertension,mesh-ancestor
1233316590,NCT01395342,Vascular Diseases,vascular diseases,mesh-ancestor
1233316591,NCT01395342,Cardiovascular Diseases,cardiovascular diseases,mesh-ancestor
1233316592,NCT01395342,Behavior,behavior,mesh-ancestor
1233316694,NCT00630994,Bone Marrow Diseases,bone marrow diseases,mesh-ancestor
1233316695,NCT00630994,Hematologic Diseases,hematologic diseases,mesh-ancestor
1233316696,NCT00630994,Hemic and Lymphatic Diseases,hemic and lymphatic diseases,mesh-ancestor
1233316697,NCT00630994,Blood Coagulation Disorders,blood coagulation disorders,mesh-ancestor
1233316698,NCT00630994,Thrombocytosis,thrombocytosis,mesh-ancestor
1233316699,NCT00630994,Blood Platelet Disorders,blood platelet disorders,mesh-ancestor
1233316700,NCT00630994,Hemorrhagic Disorders,hemorrhagic disorders,mesh-ancestor
1233316701,NCT00630994,Bone Marrow Neoplasms,bone marrow neoplasms,mesh-ancestor
1233316702,NCT00630994,Hematologic Neoplasms,hematologic neoplasms,mesh-ancestor
1233316703,NCT00630994,Neoplasms by Site,neoplasms by site,mesh-ancestor
1233316704,NCT00630994,Neoplasms,neoplasms,mesh-ancestor
1233316736,NCT01855321,Diabetes Mellitus,diabetes mellitus,mesh-ancestor
1233316737,NCT01855321,Glucose Metabolism Disorders,glucose metabolism disorders,mesh-ancestor
1233316738,NCT01855321,Metabolic Diseases,metabolic diseases,mesh-ancestor
1233316739,NCT01855321,Nutritional and Metabolic Diseases,nutritional and metabolic diseases,mesh-ancestor
1233316740,NCT01855321,Endocrine System Diseases,endocrine system diseases,mesh-ancestor
1233316741,NCT01855321,Avitaminosis,avitaminosis,mesh-ancestor
1233316742,NCT01855321,Deficiency Diseases,deficiency diseases,mesh-ancestor
1233316743,NCT01855321,Malnutrition,malnutrition,mesh-ancestor
1233316744,NCT01855321,Nutrition Disorders,nutrition disorders,mesh-ancestor
1233316845,NCT04931147,Pathologic Processes,pathologic processes,mesh-ancestor
1233316846,NCT04931147,"Pathological Conditions, Signs and Symptoms","pathological conditions, signs and symptoms",mesh-ancestor
1233316847,NCT04931147,Pulmonary Fibrosis,pulmonary fibrosis,mesh-ancestor
1233316848,NCT04931147,"Lung Diseases, Interstitial","lung diseases, interstitial",mesh-ancestor
1233316849,NCT04931147,Lung Diseases,lung diseases,mesh-ancestor
1233316850,NCT04931147,Respiratory Tract Diseases,respiratory tract diseases,mesh-ancestor
1233316851,NCT04931147,Fatty Liver,fatty liver,mesh-ancestor
1233316852,NCT04931147,Digestive System Diseases,digestive system diseases,mesh-ancestor
1233316853,NCT04931147,Urologic Diseases,urologic diseases,mesh-ancestor
1233316854,NCT04931147,Female Urogenital Diseases,female urogenital diseases,mesh-ancestor
1233316855,NCT04931147,Female Urogenital Diseases and Pregnancy Complications,female urogenital diseases and pregnancy complications,mesh-ancestor
1233316856,NCT04931147,Urogenital Diseases,urogenital diseases,mesh-ancestor
1233316857,NCT04931147,Male Urogenital Diseases,male urogenital diseases,mesh-ancestor
1233316945,NCT05772546,Digestive System Neoplasms,digestive system neoplasms,mesh-ancestor
1233316946,NCT05772546,Neoplasms by Site,neoplasms by site,mesh-ancestor
1233316947,NCT05772546,Neoplasms,neoplasms,mesh-ancestor
1233316948,NCT05772546,Digestive System Diseases,digestive system diseases,mesh-ancestor
1233316949,NCT05772546,Gastrointestinal Diseases,gastrointestinal diseases,mesh-ancestor
1233316952,NCT04957914,Diabetes Mellitus,diabetes mellitus,mesh-ancestor
1233316953,NCT04957914,Glucose Metabolism Disorders,glucose metabolism disorders,mesh-ancestor
1233316954,NCT04957914,Metabolic Diseases,metabolic diseases,mesh-ancestor
1233316955,NCT04957914,Nutritional and Metabolic Diseases,nutritional and metabolic diseases,mesh-ancestor
1233316956,NCT04957914,Endocrine System Diseases,endocrine system diseases,mesh-ancestor
1233317043,NCT03891732,"Genital Neoplasms, Male","genital neoplasms, male",mesh-ancestor
1233317044,NCT03891732,Urogenital Neoplasms,urogenital neoplasms,mesh-ancestor
1233317045,NCT03891732,Neoplasms by Site,neoplasms by site,mesh-ancestor
1233317046,NCT03891732,Neoplasms,neoplasms,mesh-ancestor
1233317047,NCT03891732,"Genital Diseases, Male","genital diseases, male",mesh-ancestor
1233317048,NCT03891732,Genital Diseases,genital diseases,mesh-ancestor
1233317049,NCT03891732,Urogenital Diseases,urogenital diseases,mesh-ancestor
1233317050,NCT03891732,Prostatic Diseases,prostatic diseases,mesh-ancestor
1233317051,NCT03891732,Male Urogenital Diseases,male urogenital diseases,mesh-ancestor
1233317090,NCT05916378,Neoplasms by Site,neoplasms by site,mesh-ancestor
1233317091,NCT05916378,Neoplasms,neoplasms,mesh-ancestor
1233317092,NCT05916378,Breast Diseases,breast diseases,mesh-ancestor
1233317093,NCT05916378,Skin Diseases,skin diseases,mesh-ancestor
1233317094,NCT05916378,Skin and Connective Tissue Diseases,skin and connective tissue diseases,mesh-ancestor
1233317110,NCT05727267,Hepatitis B,hepatitis b,mesh-ancestor
1233317111,NCT05727267,Blood-Borne Infections,blood-borne infections,mesh-ancestor
1233317112,NCT05727267,Communicable Diseases,communicable diseases,mesh-ancestor
1233317113,NCT05727267,Infections,infections,mesh-ancestor
1233317114,NCT05727267,Hepadnaviridae Infections,hepadnaviridae infections,mesh-ancestor
1233317115,NCT05727267,DNA Virus Infections,dna virus infections,mesh-ancestor
1233317116,NCT05727267,Virus Diseases,virus diseases,mesh-ancestor
1233317117,NCT05727267,"Hepatitis, Viral, Human","hepatitis, viral, human",mesh-ancestor
1233317118,NCT05727267,"Hepatitis, Chronic","hepatitis, chronic",mesh-ancestor
1233317119,NCT05727267,Hepatitis,hepatitis,mesh-ancestor
1233317120,NCT05727267,Liver Diseases,liver diseases,mesh-ancestor
1233317121,NCT05727267,Digestive System Diseases,digestive system diseases,mesh-ancestor
1233317122,NCT05727267,Chronic Disease,chronic disease,mesh-ancestor
1233317123,NCT05727267,Disease Attributes,disease attributes,mesh-ancestor
1233317124,NCT05727267,Pathologic Processes,pathologic processes,mesh-ancestor
1233317125,NCT05727267,"Pathological Conditions, Signs and Symptoms","pathological conditions, signs and symptoms",mesh-ancestor
1233317161,NCT05963217,Disease Attributes,disease attributes,mesh-ancestor
1233317162,NCT05963217,Pathologic Processes,pathologic processes,mesh-ancestor
1233317163,NCT05963217,"Pathological Conditions, Signs and Symptoms","pathological conditions, signs and symptoms",mesh-ancestor
1233317164,NCT05963217,"Leukemia, B-Cell","leukemia, b-cell",mesh-ancestor
1233317165,NCT05963217,"Leukemia, Lymphoid","leukemia, lymphoid",mesh-ancestor
1233317166,NCT05963217,Leukemia,leukemia,mesh-ancestor
1233317167,NCT05963217,Hematologic Diseases,hematologic diseases,mesh-ancestor
1233317168,NCT05963217,Hemic and Lymphatic Diseases,hemic and lymphatic diseases,mesh-ancestor
1233317169,NCT05963217,Lymphoproliferative Disorders,lymphoproliferative disorders,mesh-ancestor
1233317170,NCT05963217,Lymphatic Diseases,lymphatic diseases,mesh-ancestor
1233317171,NCT05963217,Immunoproliferative Disorders,immunoproliferative disorders,mesh-ancestor
1233317172,NCT05963217,Chronic Disease,chronic disease,mesh-ancestor
1233317179,NCT05644756,Personal Satisfaction,personal satisfaction,mesh-ancestor
1233317180,NCT05644756,Behavior,behavior,mesh-ancestor
1233317208,NCT06020378,"Hypertension, Pregnancy-Induced","hypertension, pregnancy-induced",mesh-ancestor
1233317209,NCT06020378,Pregnancy Complications,pregnancy complications,mesh-ancestor
1233317210,NCT06020378,Female Urogenital Diseases and Pregnancy Complications,female urogenital diseases and pregnancy complications,mesh-ancestor
1233317211,NCT06020378,Urogenital Diseases,urogenital diseases,mesh-ancestor
1233317212,NCT04638439,Hepatitis B,hepatitis b,mesh-ancestor
1233317213,NCT04638439,Blood-Borne Infections,blood-borne infections,mesh-ancestor
1233317214,NCT04638439,Communicable Diseases,communicable diseases,mesh-ancestor
1233317215,NCT04638439,Infections,infections,mesh-ancestor
1233317216,NCT04638439,Hepadnaviridae Infections,hepadnaviridae infections,mesh-ancestor
1233317217,NCT04638439,DNA Virus Infections,dna virus infections,mesh-ancestor
1233317218,NCT04638439,Virus Diseases,virus diseases,mesh-ancestor
1233317219,NCT04638439,"Hepatitis, Viral, Human","hepatitis, viral, human",mesh-ancestor
1233317220,NCT04638439,"Hepatitis, Chronic","hepatitis, chronic",mesh-ancestor
1233317221,NCT04638439,Hepatitis,hepatitis,mesh-ancestor
1233317222,NCT04638439,Liver Diseases,liver diseases,mesh-ancestor
1233317223,NCT04638439,Digestive System Diseases,digestive system diseases,mesh-ancestor
1233317224,NCT04638439,Chronic Disease,chronic disease,mesh-ancestor
1233317225,NCT04638439,Disease Attributes,disease attributes,mesh-ancestor
1233317226,NCT04638439,Pathologic Processes,pathologic processes,mesh-ancestor
1233317227,NCT04638439,"Pathological Conditions, Signs and Symptoms","pathological conditions, signs and symptoms",mesh-ancestor
1233317231,NCT06839872,"Leukemia, B-Cell","leukemia, b-cell",mesh-ancestor
1233317232,NCT06839872,"Leukemia, Lymphoid","leukemia, lymphoid",mesh-ancestor
1233317233,NCT06839872,Leukemia,leukemia,mesh-ancestor
1233317234,NCT06839872,Neoplasms by Histologic Type,neoplasms by histologic type,mesh-ancestor
1233317235,NCT06839872,Neoplasms,neoplasms,mesh-ancestor
1233317236,NCT06839872,Hematologic Diseases,hematologic diseases,mesh-ancestor
1233317237,NCT06839872,Hemic and Lymphatic Diseases,hemic and lymphatic diseases,mesh-ancestor
1233317238,NCT06839872,Lymphoproliferative Disorders,lymphoproliferative disorders,mesh-ancestor
1233317239,NCT06839872,Lymphatic Diseases,lymphatic diseases,mesh-ancestor
1233317240,NCT06839872,Immunoproliferative Disorders,immunoproliferative disorders,mesh-ancestor
1233317241,NCT06839872,Immune System Diseases,immune system diseases,mesh-ancestor
1233317242,NCT06839872,Chronic Disease,chronic disease,mesh-ancestor
1233317243,NCT06839872,Disease Attributes,disease attributes,mesh-ancestor
1233317244,NCT06839872,Pathologic Processes,pathologic processes,mesh-ancestor
1233317245,NCT06839872,"Pathological Conditions, Signs and Symptoms","pathological conditions, signs and symptoms",mesh-ancestor
1233317256,NCT04663997,"Genital Neoplasms, Male","genital neoplasms, male",mesh-ancestor
1233317257,NCT04663997,Urogenital Neoplasms,urogenital neoplasms,mesh-ancestor
1233317258,NCT04663997,Neoplasms by Site,neoplasms by site,mesh-ancestor
1233317259,NCT04663997,Neoplasms,neoplasms,mesh-ancestor
1233317260,NCT04663997,"Genital Diseases, Male","genital diseases, male",mesh-ancestor
1233317261,NCT04663997,Genital Diseases,genital diseases,mesh-ancestor
1233317262,NCT04663997,Urogenital Diseases,urogenital diseases,mesh-ancestor
1233317263,NCT04663997,Prostatic Diseases,prostatic diseases,mesh-ancestor
1233317264,NCT04663997,Male Urogenital Diseases,male urogenital diseases,mesh-ancestor
1233317305,NCT04238624,Carcinoma,carcinoma,mesh-ancestor
1233317306,NCT04238624,"Neoplasms, Glandular and Epithelial","neoplasms, glandular and epithelial",mesh-ancestor
1233317307,NCT04238624,Neoplasms by Histologic Type,neoplasms by histologic type,mesh-ancestor
1233317308,NCT04238624,Neoplasms,neoplasms,mesh-ancestor
1233317309,NCT04238624,Endocrine Gland Neoplasms,endocrine gland neoplasms,mesh-ancestor
1233317310,NCT04238624,Neoplasms by Site,neoplasms by site,mesh-ancestor
1233317311,NCT04238624,Head and Neck Neoplasms,head and neck neoplasms,mesh-ancestor
1233317312,NCT04238624,Endocrine System Diseases,endocrine system diseases,mesh-ancestor
1233317313,NCT04238624,Thyroid Diseases,thyroid diseases,mesh-ancestor
1233317365,NCT05981365,"Anemia, Hemolytic, Congenital","anemia, hemolytic, congenital",mesh-ancestor
1233317366,NCT05981365,"Anemia, Hemolytic","anemia, hemolytic",mesh-ancestor
1233317367,NCT05981365,Anemia,anemia,mesh-ancestor
1233317368,NCT05981365,Hematologic Diseases,hematologic diseases,mesh-ancestor
1233317369,NCT05981365,Hemic and Lymphatic Diseases,hemic and lymphatic diseases,mesh-ancestor
1233317370,NCT05981365,Hemoglobinopathies,hemoglobinopathies,mesh-ancestor
1233317371,NCT05981365,"Genetic Diseases, Inborn","genetic diseases, inborn",mesh-ancestor
1233317372,NCT05981365,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities","congenital, hereditary, and neonatal diseases and abnormalities",mesh-ancestor
1233317583,NCT00671645,Colorectal Neoplasms,colorectal neoplasms,mesh-ancestor
1233317584,NCT00671645,Intestinal Neoplasms,intestinal neoplasms,mesh-ancestor
1233317585,NCT00671645,Gastrointestinal Neoplasms,gastrointestinal neoplasms,mesh-ancestor
1233317586,NCT00671645,Digestive System Neoplasms,digestive system neoplasms,mesh-ancestor
1233317587,NCT00671645,Neoplasms by Site,neoplasms by site,mesh-ancestor
1233317588,NCT00671645,Neoplasms,neoplasms,mesh-ancestor
1233317589,NCT00671645,Digestive System Diseases,digestive system diseases,mesh-ancestor
1233317590,NCT00671645,Gastrointestinal Diseases,gastrointestinal diseases,mesh-ancestor
1233317591,NCT00671645,Intestinal Diseases,intestinal diseases,mesh-ancestor
1233317592,NCT00671645,Rectal Diseases,rectal diseases,mesh-ancestor
1233317593,NCT00671645,"Neoplasms, Glandular and Epithelial","neoplasms, glandular and epithelial",mesh-ancestor
1233317594,NCT00671645,Neoplasms by Histologic Type,neoplasms by histologic type,mesh-ancestor
1233317595,NCT00671645,Erythema,erythema,mesh-ancestor
1233317596,NCT00671645,Skin Diseases,skin diseases,mesh-ancestor
1233317597,NCT00671645,Skin and Connective Tissue Diseases,skin and connective tissue diseases,mesh-ancestor
1233317598,NCT00671645,"Skin Diseases, Vesiculobullous","skin diseases, vesiculobullous",mesh-ancestor
1233317623,NCT00261352,Diabetes Mellitus,diabetes mellitus,mesh-ancestor
1233317624,NCT00261352,Glucose Metabolism Disorders,glucose metabolism disorders,mesh-ancestor
1233317625,NCT00261352,Metabolic Diseases,metabolic diseases,mesh-ancestor
1233317626,NCT00261352,Nutritional and Metabolic Diseases,nutritional and metabolic diseases,mesh-ancestor
1233317627,NCT00261352,Endocrine System Diseases,endocrine system diseases,mesh-ancestor
1233317643,NCT00401310,Cerebral Infarction,cerebral infarction,mesh-ancestor
1233317644,NCT00401310,Brain Infarction,brain infarction,mesh-ancestor
1233317645,NCT00401310,Brain Ischemia,brain ischemia,mesh-ancestor
1233317646,NCT00401310,Cerebrovascular Disorders,cerebrovascular disorders,mesh-ancestor
1233317647,NCT00401310,Brain Diseases,brain diseases,mesh-ancestor
1233317648,NCT00401310,Central Nervous System Diseases,central nervous system diseases,mesh-ancestor
1233317649,NCT00401310,Nervous System Diseases,nervous system diseases,mesh-ancestor
1233317650,NCT00401310,Cerebral Arterial Diseases,cerebral arterial diseases,mesh-ancestor
1233317651,NCT00401310,Intracranial Arterial Diseases,intracranial arterial diseases,mesh-ancestor
1233317652,NCT00401310,Stroke,stroke,mesh-ancestor
1233317653,NCT00401310,Vascular Diseases,vascular diseases,mesh-ancestor
1233317654,NCT00401310,Cardiovascular Diseases,cardiovascular diseases,mesh-ancestor
1233317655,NCT00401310,Infarction,infarction,mesh-ancestor
1233317656,NCT00401310,Ischemia,ischemia,mesh-ancestor
1233317657,NCT00401310,Pathologic Processes,pathologic processes,mesh-ancestor
1233317658,NCT00401310,"Pathological Conditions, Signs and Symptoms","pathological conditions, signs and symptoms",mesh-ancestor
1233317659,NCT00401310,Necrosis,necrosis,mesh-ancestor
1233317712,NCT04909879,Lung Diseases,lung diseases,mesh-ancestor
1233317713,NCT04909879,Respiratory Tract Diseases,respiratory tract diseases,mesh-ancestor
1233317714,NCT04909879,Respiration Disorders,respiration disorders,mesh-ancestor
1233317715,NCT04909879,Lung Injury,lung injury,mesh-ancestor
1233317777,NCT00320801,Arthritis,arthritis,mesh-ancestor
1233317778,NCT00320801,Joint Diseases,joint diseases,mesh-ancestor
1233317779,NCT00320801,Musculoskeletal Diseases,musculoskeletal diseases,mesh-ancestor
1233317780,NCT00320801,Rheumatic Diseases,rheumatic diseases,mesh-ancestor
1233317781,NCT00320801,Pain,pain,mesh-ancestor
1233317782,NCT00320801,Neurologic Manifestations,neurologic manifestations,mesh-ancestor
1233317783,NCT00320801,Signs and Symptoms,signs and symptoms,mesh-ancestor
1233317784,NCT00320801,"Pathological Conditions, Signs and Symptoms","pathological conditions, signs and symptoms",mesh-ancestor
1233317970,NCT00323362,Respiratory Tract Neoplasms,respiratory tract neoplasms,mesh-ancestor
1233317971,NCT00323362,Thoracic Neoplasms,thoracic neoplasms,mesh-ancestor
1233317972,NCT00323362,Neoplasms by Site,neoplasms by site,mesh-ancestor
1233317973,NCT00323362,Neoplasms,neoplasms,mesh-ancestor
1233317974,NCT00323362,Lung Diseases,lung diseases,mesh-ancestor
1233317975,NCT00323362,Respiratory Tract Diseases,respiratory tract diseases,mesh-ancestor
1233317976,NCT00323362,"Carcinoma, Bronchogenic","carcinoma, bronchogenic",mesh-ancestor
1233317977,NCT00323362,Bronchial Neoplasms,bronchial neoplasms,mesh-ancestor
1233318170,NCT05790200,Carcinoma,carcinoma,mesh-ancestor
1233318171,NCT05790200,"Neoplasms, Glandular and Epithelial","neoplasms, glandular and epithelial",mesh-ancestor
1233318172,NCT05790200,Neoplasms by Histologic Type,neoplasms by histologic type,mesh-ancestor
1233318173,NCT05790200,Neoplasms,neoplasms,mesh-ancestor
1233318174,NCT05790200,Nasopharyngeal Neoplasms,nasopharyngeal neoplasms,mesh-ancestor
1233318175,NCT05790200,Pharyngeal Neoplasms,pharyngeal neoplasms,mesh-ancestor
1233318176,NCT05790200,Otorhinolaryngologic Neoplasms,otorhinolaryngologic neoplasms,mesh-ancestor
1233318177,NCT05790200,Head and Neck Neoplasms,head and neck neoplasms,mesh-ancestor
1233318178,NCT05790200,Neoplasms by Site,neoplasms by site,mesh-ancestor
1233318179,NCT05790200,Nasopharyngeal Diseases,nasopharyngeal diseases,mesh-ancestor
1233318180,NCT05790200,Pharyngeal Diseases,pharyngeal diseases,mesh-ancestor
1233318181,NCT05790200,Stomatognathic Diseases,stomatognathic diseases,mesh-ancestor
1233318182,NCT05790200,Otorhinolaryngologic Diseases,otorhinolaryngologic diseases,mesh-ancestor
1233318387,NCT04535518,Vasculitis,vasculitis,mesh-ancestor
1233318388,NCT04535518,Vascular Diseases,vascular diseases,mesh-ancestor
1233318389,NCT04535518,Cardiovascular Diseases,cardiovascular diseases,mesh-ancestor
1233318390,NCT04535518,Lymphatic Diseases,lymphatic diseases,mesh-ancestor
1233318391,NCT04535518,Hemic and Lymphatic Diseases,hemic and lymphatic diseases,mesh-ancestor
1233318392,NCT04535518,"Skin Diseases, Vascular","skin diseases, vascular",mesh-ancestor
1233318393,NCT04535518,Skin Diseases,skin diseases,mesh-ancestor
1233318394,NCT04535518,Skin and Connective Tissue Diseases,skin and connective tissue diseases,mesh-ancestor
1233318996,NCT04479358,"Pneumonia, Viral","pneumonia, viral",mesh-ancestor
1233318997,NCT04479358,Pneumonia,pneumonia,mesh-ancestor
1233318998,NCT04479358,Respiratory Tract Infections,respiratory tract infections,mesh-ancestor
1233318999,NCT04479358,Infections,infections,mesh-ancestor
1233319000,NCT04479358,Virus Diseases,virus diseases,mesh-ancestor
1233319001,NCT04479358,Coronavirus Infections,coronavirus infections,mesh-ancestor
1233319002,NCT04479358,Coronaviridae Infections,coronaviridae infections,mesh-ancestor
1233319003,NCT04479358,Nidovirales Infections,nidovirales infections,mesh-ancestor
1233319004,NCT04479358,RNA Virus Infections,rna virus infections,mesh-ancestor
1233319005,NCT04479358,Lung Diseases,lung diseases,mesh-ancestor
1233319006,NCT04479358,Respiratory Tract Diseases,respiratory tract diseases,mesh-ancestor
